Number,Name,Description,Price,Image Url
2,Mercedes-Benz E-класс,"2007 г., 3.5 л., автомат седан, бензин руль слева, 223 000 км","$ 11 500
                                                                                                                                         
                                                                                                                                                                                         1 010 620 сом",https://im.mashina.kg/tachka/images//7/3/6/73693ac8cc24fe2c30cb9586286f536d_240x180.jpg
2,Kia K7,"2014 г., 3 л., автомат седан, бензин руль слева, 120 000 км","$ 14 950
                                                                                                                                         
                                                                                                                                                                                         1 313 806 сом",https://im.mashina.kg/tachka/images//9/9/6/996a01f76274f0c221d87f78e7a0e8b9_240x180.jpg
2,Lexus RX,"2018 г., 3.5 л., автомат внедорожник 5 дв., бензин руль слева, 30 000 км","$ 46 000
                                                                                                                                         
                                                                                                                                                                                         4 042 480 сом",https://im.mashina.kg/tachka/images//a/e/e/aee1a0bb11b963807e3887ed7690c2c8_240x180.jpg
2,Kia Sorento,"2017 г., 2 л., автомат внедорожник 5 дв., дизель руль слева, 161 000 км","$ 23 300
                                                                                                                                         
                                                                                                                                                                                         2 047 604 сом",https://im.mashina.kg/tachka/images//d/d/b/ddb04ea59f57884f3bd078c85b21d22b_240x180.jpg
2,Land Rover Range Rover,"2018 г., 4.4 л., автомат внедорожник 5 дв., дизель руль слева, 80 000 км","$ 112 000
                                                                                                                                         
                                                                                                                                                                                         9 842 560 сом",https://im.mashina.kg/tachka/images//7/3/0/730bf96c5a5b82926a5fa9630ec95fac_240x180.jpg
2,Toyota FJ Cruiser,"2008 г., 4 л., автомат внедорожник 5 дв., бензин руль слева, 180 000 км","$ 26 000
                                                                                                                                         
                                                                                                                                                                                         2 284 880 сом",https://im.mashina.kg/tachka/images//d/7/4/d7498dbb9226a21274533a1a7903be74_240x180.jpg
2,Toyota Harrier,"2004 г., 3 л., автомат внедорожник 5 дв., бензин руль справа, 190 000 км","$ 14 500
                                                                                                                                         
                                                                                                                                                                                         1 274 260 сом",https://im.mashina.kg/tachka/images//a/0/2/a02320bff77fcbc9bc7047751a5b1d15_240x180.jpg
2,Toyota Camry,"2015 г., 2.5 л., автомат седан, бензин руль слева, 190 000 км","$ 17 200
                                                                                                                                         
                                                                                                                                                                                         1 511 536 сом",https://im.mashina.kg/tachka/images//6/c/4/6c47f58180ba6a61da06a7c2c1abaf73_240x180.jpg
2,Lexus UX,"2019 г., 2 л., вариатор внедорожник 5 дв., гибрид руль слева, 25 000 км","$ 38 500
                                                                                                                                         
                                                                                                                                                                                         3 383 380 сом",https://im.mashina.kg/tachka/images//e/8/f/e8f353e0eeb3701a73b0469860139286_240x180.jpg
2,Suzuki SX4,"2011 г., 2 л., автомат хэтчбек 5 дв., бензин руль слева, 200 000 км","$ 7 500
                                                                                                                                         
                                                                                                                                                                                         659 100 сом",https://im.mashina.kg/tachka/images//6/9/e/69eb54727ffabd5fd3de2754845ab1e4_240x180.jpg
2,Jaguar XE,"2017 г., 2 л., автомат седан, бензин руль слева, 57 000 км","$ 21 000
                                                                                                                                         
                                                                                                                                                                                         1 845 480 сом",https://im.mashina.kg/tachka/images//8/4/6/84683d472d5758771ae64f09648feafc_240x180.jpg
2,Toyota Highlander,"2022 г., 2.5 л., автомат внедорожник 5 дв., гибрид руль слева","$ 72 000
                                                                                                                                         
                                                                                                                                                                                         6 327 360 сом",https://im.mashina.kg/tachka/images//1/0/8/1084f072b109822a393b3b48f8fa9304_240x180.jpg
2,Lexus GS,"2018 г., 2.5 л., вариатор седан, гибрид руль слева, 67 000 км","$ 29 400
                                                                                                                                         
                                                                                                                                                                                         2 583 672 сом",https://im.mashina.kg/tachka/images//3/0/1/301d0ca5b519776d4f51f9e9c632a640_240x180.jpg
2,Lexus ES,"2007 г., 3.5 л., автомат седан, бензин руль слева, 335 000 км","$ 10 800
                                                                                                                                         
                                                                                                                                                                                         949 104 сом",https://im.mashina.kg/tachka/images//0/d/2/0d27ea3127c2707a30eb0fc1ca05d1eb_240x180.jpg
2,Mercedes-Benz E-класс,"2017 г., 2 л., автомат седан, бензин руль слева, 372 850 км","$ 28 500
                                                                                                                                         
                                                                                                                                                                                         2 504 580 сом",https://im.mashina.kg/tachka/images//6/b/5/6b53aafca60bd5672e97a27159dab6a3_240x180.jpg
2,Ford F-150,"2016 г., 2.7 л., автомат пикап двойная кабина, бензин руль слева, 130 000 км","$ 43 900
                                                                                                                                         
                                                                                                                                                                                         3 857 932 сом",https://im.mashina.kg/tachka/images//4/a/f/4af500b595c094a57c52c7c0d0619835_240x180.jpg
2,BMW 5 серии,"2019 г., 2 л., автомат седан, дизель руль слева, 50 000 км","$ 36 500
                                                                                                                                         
                                                                                                                                                                                         3 207 620 сом",https://im.mashina.kg/tachka/images//9/0/f/90f361a09a2bf4153a3aab93e54a2c04_240x180.jpg
2,Mercedes-Benz C-Класс,"2000 г., 2.6 л., автомат седан, бензин руль слева, 220 000 км","$ 6 700
                                                                                                                                         
                                                                                                                                                                                         588 796 сом",https://im.mashina.kg/tachka/images//1/f/2/1f26daa41383d7aea132b04f5fd37fbd_240x180.jpg
3,Kia Carnival,"2021 г., 3.5 л., автомат минивэн, бензин руль слева, 1 100 км","$ 40 000
                                                                                                                                         
                                                                                                                                                                                         3 515 200 сом",https://im.mashina.kg/tachka/images//d/1/b/d1b421693c66374fa5475cb2d3d808a0_240x180.jpg
3,BMW X5,"2017 г., 3 л., автомат внедорожник 5 дв., бензин руль слева, 68 000 км","$ 42 000
                                                                                                                                         
                                                                                                                                                                                         3 690 960 сом",https://im.mashina.kg/tachka/images//8/f/0/8f083f181198b188c5200cbddd5e6ea1_240x180.jpg
3,BMW X5,"2016 г., 3 л., автомат внедорожник 5 дв., бензин руль слева, 70 000 км","$ 42 000
                                                                                                                                         
                                                                                                                                                                                         3 690 960 сом",https://im.mashina.kg/tachka/images//a/1/b/a1baeddde95f966b9c1b95f7d057d1ac_240x180.jpg
3,Kia Seltos,"2020 г., 1.6 л., автомат внедорожник 5 дв., бензин руль слева, 60 000 км","$ 26 800
                                                                                                                                         
                                                                                                                                                                                         2 355 184 сом",https://im.mashina.kg/tachka/images//4/7/2/4722530f05c4c59976dfcd92178cb844_240x180.jpg
